Approved_symbol	Previous_symbols	Gene_group_ID	NCBI_Gene_ID
ACTR3P1			100288580
ACTR3P2			100129013
ACTR3P3			100128020
ACTR5		595|1436	79913
ACTR6		1436|1329	64431
ACTR6P1			100421495
ACTR8		1436|595	93973
ACTR10		943|1436	55860
ACTRT1		1436	139741
ACTRT1P1			100128268
ACTRT2		1436	140625
ACTRT3		1436	84517
ACVR1	ACVRLK2	345	90
ACVR1B	ACVRLK4	345	91
ACVR1C		345	130399
ACVR2A	ACVR2	346	92
ACVR2B		346	93
ACVR2B-AS1		1987	100128640
ACVRL1	ACVRLK1|ORW2	345	94
ACVRLK2			<NA>
ACY1		1443	95
ACY1L	ACY1L		<NA>
ACY3			91703
ACYP1			97
ACYP2			98
AD1			<NA>
AD2	AD2		<NA>
AD3			<NA>
AD4			<NA>
AD5			<NA>
ADA		1302	100
ADA2	IDGFL|CECR1	1302	51816
ADAD1		1303	132612
ADAD1P1			100422386
ADAD1P2			100422407
ADAD2		1303	161931
ADAL		1302	161823
ADAM1A	ADAM1	47	8759
ADAM1B		47	100420505
ADAM2	FTNB	47	2515
ADAM3A	CYRN1	47	1587
ADAM3B	CYRN2	47	1596
ADAM5	ADAM5P	47	255926
ADAM6	C14orf96	47	8755
ADAM7		47	8756
ADAM7-AS1		1987	101929294
ADAM7-AS2		1987	101929315
ADAM8		47|471	101
ADAM9	CORD9	47	8754
ADAM10		47|471	102
ADAM11	MDC	47	4185
ADAM12		47	8038
ADAM12-OT1			<NA>
ADAM15		47	8751
ADAM17	TACE	47|471	6868
ADAM18		47	8749
ADAM19		47	8728
ADAM20		47	8748
ADAM20P1	C14orf55		317760
ADAM20P2			100533671
ADAM20P3			644325
ADAM21		47	8747
ADAM21P1	ADAM21P		145241
ADAM22		47	53616
ADAM23		47	8745
ADAM24P		47	646479
ADAM28		47	10863
ADAM29		47	11086
ADAM30		47	11085
ADAM32		47	203102
ADAM33	C20orf153	47	80332
ADAMDEC1			27299
ADAMTS1		50	9510
ADAMTS2		50	9509
ADAMTS3		50	9508
ADAMTS4		50	9507
ADAMTS5		50	11096
ADAMTS6		50	11174
ADAMTS7		50	11173
ADAMTS7P1	ADAMTS7P2		390660
ADAMTS7P2			<NA>
ADAMTS7P3			400406
ADAMTS7P4			642935
ADAMTS7P5			100422416
ADAMTS8		50	11095
ADAMTS9		50	56999
ADAMTS9-AS1		1987	101929335
ADAMTS9-AS2		1987	100507098
ADAMTS10		50	81794
ADAMTS12		50	81792
ADAMTS13	C9orf8	50	11093
ADAMTS14		50	140766
ADAMTS15		50	170689
ADAMTS16		50	170690
ADAMTS16-DT		1990	101929176
ADAMTS17		50	170691
ADAMTS18	ADAMTS21	50	170692
ADAMTS19		50	171019
ADAMTS19-AS1		1987	103689846
ADAMTS20		50	80070
ADAMTS21			<NA>
ADAMTSL1	C9orf94	947|1691|593	92949
ADAMTSL2		947	9719
ADAMTSL3		593|594|947	57188
ADAMTSL4	TSRC1	947|1691	54507
ADAMTSL4-AS1	C1orf138	1987	<NA>
ADAMTSL4-AS2		1987	100289061
ADAMTSL5	THSD6	947	339366
ADAP1	CENTA1	395|682	11033
ADAP2	CENTA2	682|395	55803
ADAR	IFI4|G1P1	1303	103
ADARB1		1303	104
ADARB2		1303	105
ADARB2-AS1	C10orf109|NCRNA00168	1987	642394
ADAT1		1303	23536
ADAT2	DEADC1	1303	134637
ADAT3		1303	113179
ADCK1			57143
ADCK2			90956
ADCK5			203054
ADCP1			106
ADCP2			<NA>
ADCR			<NA>
ADCY1	DFNB44	53	107
ADCY2		53	108
ADCY3		53	109
ADCY4		53	196883
ADCY5		53	111
ADCY6		53|1691	112
ADCY6-DT		1990	100506125
ADCY7		1691|53	113
ADCY8	ADCY3	53	114
ADCY9		53	115
ADCY10		53	55811
ADCY10P1			221442
ADCYAP1		1902	116
ADCYAP1R1		264	117
ADD1		2050	118
ADD2		2050	119
ADD3	ADDL	2050	120
ADD3-AS1		1987	100505933
ADDL			<NA>
ADFN			<NA>
ADGB	C6orf103	975	79747
ADGB-DT		1990	101928661
ADGRA1	GPR123	911	84435
ADGRA1-AS1	GPR123-AS1	1987	<NA>
ADGRA2	GPR124	911|594	25960
ADGRA3	GPR125	911|593	166647
ADGRA3P1			100996333
ADGRB1	BAI1	912	575
ADGRB2	BAI2	912|1691	576
ADGRB3	BAI3	912	577
ADGRB3-DT		1990	101928307
ADGRD1	GPR133	914	283383
ADGRD1-AS1		1987	105755954
ADGRD2	GPR144	914	347088
ADGRE1	TM7LN3|EMR1	915	2015
ADGRE2	EMR2	915|471	30817
ADGRE3	EMR3	915	84658
ADGRE4P	GPR127|EMR4|EMR4P	915	326342
ADGRE5	CD97	915|471	976
ADGRF1	GPR110	916	266977
ADGRF2P	GPR111|ADGRF2	916	222611
ADGRF3	GPR113	916	165082
ADGRF4	GPR115	916	221393
ADGRF5	GPR116	593|594|916	221395
ADGRF5-AS1		1987	101926962
ADGRF5P1	GPR116P1		389740
ADGRF5P2	GPR116P2		441416
ADGRG1	GPR56	917	9289
ADGRG2	GPR64	917	10149
ADGRG3	GPR97	917	222487
ADGRG4	GPR112	917	139378
ADGRG5	GPR114	917	221188
ADGRG6	GPR126	917	57211
ADGRG7	GPR128	917	84873
ADGRL1	LPHN1	2314|918	22859
ADGRL1-AS1		1987	100507373
ADGRL2	LPHH1|LPHN2	2314|918	23266
ADGRL3	LPHN3	918|2314	23284
ADGRL3-AS1	LPHN3-AS1	1987	101927186
ADGRL4	ELTD1	918	64123
ADGRV1	USH2C|MASS1|GPR98	1244|919	84059
ADH1A	ADH1	397	124
ADH1B	ADH2	397	125
ADH1C	ADH3	397	126
ADH4		397	127
ADH5	FDH	397	128
ADH5P1			<NA>
ADH5P2			343296
ADH5P3			100131810
ADH5P4	ADH5B		642443
ADH5P5			<NA>
ADH6		397	130
ADH7		397	131
ADHFE1		397	137872
ADI1			55256
ADI1P1			100130936
ADI1P2			100288971
ADI1P3			100288129
ADIG			149685
ADIPINT		1992	125906382
ADIPOQ	ACDC	1372	9370
ADIPOQ-AS1		1987	100874095
ADIPOR1		930|293	51094
ADIPOR1P1			645220
ADIPOR1P2			390503
ADIPOR2		293|930	79602
ADIR			<NA>
ADIRF	C10orf116		10974
ADIRF-AS1		1987	100133190
ADISSP	C20orf27		54976
ADK			132
ADL			<NA>
