NCBI_Gene_ID	Approved_Symbol
3491	CCN1
3574	IL7
3611	ILK
3684	ITGAM
3716	JAK1
3880	KRT19
3925	STMN1
406986	MIR203A
407008	MIR223
4092	SMAD7
4878	NPPA
5069	PAPPA
51561	IL23A
51741	WWOX
5268	SERPINB5
5335	PLCG1
5654	HTRA1
590	BCHE
634	CEACAM1
659	BMPR2
6928	HNF1B
7186	TRAF2
773	CACNA1A
79923	NANOG
8289	ARID1A
8737	RIPK1
1021	CDK6
10399	RACK1
10643	IGF2BP3
1236	CCR7
1378	CR1
1394	CRHR1
1437	CSF2
1673	DEFB4A
2130	EWSR1
2705	GJB1
284	ANGPT1
29110	TBK1
2934	GSN
3169	FOXA1
3358	HTR2C
3397	ID1
350	APOH
3990	LIPC
4067	LYN
4306	NR3C2
4552	MTRR
54209	TREM2
57379	AICDA
59341	TRPV4
6441	SFTPD
6716	SRD5A2
6833	ABCC8
8841	HDAC3
100	ADA
10062	NR1H3
1281	COL3A1
1361	CPB2
1812	DRD1
25939	SAMHD1
2623	GATA1
2626	GATA4
2678	GGT1
2719	GPC3
2776	GNAQ
3485	IGFBP2
3624	INHBA
3663	IRF5
3875	KRT18
3973	LHCGR
4041	LRP5
406952	MIR17
4607	MYBPC3
5167	ENPP1
55384	MEG3
5581	PRKCE
5590	PRKCZ
58	ACTA1
5972	REN
6010	RHO
64135	IFIH1
655	BMP7
6573	SLC19A1
6690	SPINK1
6885	MAP3K7
6908	TBP
7068	THRB
7158	TP53BP1
7321	UBE2D1
7494	XBP1
8454	CUL1
8945	BTRC
9232	PTTG1
9575	CLOCK
9927	MFN2
10397	NDRG1
10406	WFDC2
1269	CNR2
1806	DPYD
2	A2M
2017	CTTN
2057	EPOR
208	AKT2
2160	F11
2516	NR5A1
27250	PDCD4
3178	HNRNPA1
326	AIRE
4907	NT5E
5037	PEBP1
5045	FURIN
51129	ANGPTL4
5292	PIM1
5376	PMP22
546	ATRX
5515	PPP2CA
5742	PTGS1
5744	PTHLH
5901	RAN
6117	RPA1
641	BLM
6775	STAT4
7035	TFPI
834	CASP1
8850	KAT2B
9112	MTA1
9131	AIFM1
943	TNFRSF8
9839	ZEB2
9971	NR1H4
10419	PRMT5
1294	COL7A1
1435	CSF1
1540	CYLD
1604	CD55
2073	ERCC5
2120	ETV6
2185	PTK2B
2624	GATA2
2643	GCH1
26762	HAVCR1
27178	IL37
308	ANXA5
3838	KPNA2
406910	MIR125A
409	ARRB2
