Approved symbol	Status	Previous symbols	Gene group ID	NCBI Gene ID
KIAA1191P3	Approved			100131918
KIAA1210	Approved			57481
KIAA1217	Approved		1691	56243
KIAA1245	Symbol Withdrawn			
KIAA1328	Approved			57536
KIAA1328P1	Approved			100418712
KIAA1549	Approved			57670
KIAA1549L	Approved	C11orf69, C11orf41		25758
KIAA1586	Approved			57691
KIAA1614	Approved			57710
KIAA1614-AS1	Approved		1987	103344928
KIAA1618	Symbol Withdrawn			
KIAA1671	Approved			85379
KIAA1671-AS1	Approved		1987	100128531
KIAA1755	Approved			85449
KIAA1794	Symbol Withdrawn	FANCI		
KIAA1840	Symbol Withdrawn	KIAA1840		
KIAA1958	Approved			158405
KIAA2012	Approved			100652824
KIAA2012-AS1	Approved		1987	729224
KIAA2013	Approved			90231
KICS2	Approved	C12orf66	1393	144577
KIDINS220	Approved		403	57498
KIF1A	Approved	ATSV, C2orf20, SPG30	682|622	547
KIF1B	Approved	CMT2A, CMT2	682|1691|622	23095
KIF1C	Approved	SAX2	622	10749
KIF1C-AS1	Approved		1987	102724009
KIF2A	Approved	KIF2	622	3796
KIF2B	Approved		622	84643
KIF2C	Approved	KNSL6	622|1835	11004
KIF3A	Approved		622	11127
KIF3AP1	Approved			100419880
KIF3B	Approved		622	9371
KIF3C	Approved		622	3797
KIF4A	Approved		622	24137
KIF4B	Approved		622	285643
KIF4CP	Approved		622	347363
KIF5A	Approved	SPG10	622	3798
KIF5B	Approved	KNS1	622	3799
KIF5C	Approved		622	3800
KIF5C-AS1	Approved		1987	112267889
KIF6	Approved	C6orf102	622	221458
KIF7	Approved		622	374654
KIF9	Approved		622	64147
KIF9-AS1	Approved		1987	285352
KIF11	Approved	KNSL1	622	3832
KIF12	Approved		622	113220
KIF13A	Approved		622	63971
KIF13B	Approved		622	23303
KIF14	Approved		622	9928
KIF15	Approved	KNSL7	622	56992
KIF16B	Approved	C20orf23	622	55614
KIF17	Approved		622	57576
KIF18A	Approved		694|622	81930
KIF18B	Approved		622|1691	146909
KIF18B-DT	Approved		1990	
KIF18BP1	Approved			642683
KIF19	Approved		622	124602
KIF19BP	Approved			645357
KIF20A	Approved	RAB6KIFL	622	10112
KIF20B	Approved	MPHOSPH1	622	9585
KIF21A	Approved	FEOM1	622|362	55605
KIF21B	Approved		622|362	23046
KIF22	Approved	KNSL4	622	3835
KIF23	Approved	KNSL5	622	9493
KIF23-AS1	Approved		1987	145694
KIF24	Approved	C9orf48	622|1835|760	347240
KIF25	Approved	KNSL3	622	3834
KIF25-AS1	Approved	C6orf54, NCRNA00300	1987	100505879
KIF26A	Approved		622	26153
KIF26A-DT	Approved		1990	105370708
KIF26B	Approved		622	55083
KIF26B-AS1	Approved		1987	
KIF27	Approved		622	55582
KIF28P	Approved		622	100130097
KIFAP3	Approved		1492	22920
KIFAP3-AS1	Approved		1987	
KIFBP	Approved	KIAA1279, KIF1BP	769	26128
KIFC1	Approved	KNSL2	622	3833
KIFC2	Approved		622	90990
KIFC3	Approved		622|1691	3801
KILH	Approved		1992	101927136
KIN	Approved			22944
KIR	Symbol Withdrawn			
KIR2DL1	Approved		620|471	3802
KIR2DL2	Approved		471|620	3803
KIR2DL3	Approved		620|471	3804
KIR2DL4	Approved		471|620	3805
KIR2DL5A	Approved		620|471	57292
KIR2DL5B	Approved		620	553128
KIR2DP1	Approved		620	554300
KIR2DS1	Approved		620|471	3806
KIR2DS2	Approved		471|620	100132285
KIR2DS3	Approved		620	3808
KIR2DS4	Approved		620|471	3809
KIR2DS5	Approved		471|620	3810
KIR3DL1	Approved	KIR	620|471	3811
KIR3DL2	Approved		471|620	3812
KIR3DL3	Approved		471|620	115653
KIR3DP1	Approved		620|471	548594
KIR3DS1	Approved		620	3813
KIR3DX1	Approved	LENG12	620	90011
KIRREL1	Approved	KIRREL	592|593	55243
KIRREL1-IT1	Approved	KIRREL-IT1	1989	100505785
KIRREL2	Approved		592|593	84063
KIRREL3	Approved		592|1691|593	84623
KIRREL3-AS1	Approved		1987	
KIRREL3-AS2	Approved		1987	
KIRREL3-AS3	Approved	PRR10, NCRNA00288	1987	283165
KISS1	Approved		1902	3814
KISS1R	Approved	GPR54	220	84634
KIT	Approved	PBT	321|471|594	3815
KITLG	Approved	MGF		4254
KIZ	Approved	NCRNA00153, C20orf19, PLK1S1		55857
KIZ-AS1	Approved		1987	101929591
KL	Approved		1652	9365
KLB	Approved		1691|1652	152831
KLC1	Approved	KNS2	769	3831
KLC1-AS1	Approved		1987	
KLC2	Approved		769	64837
KLC2-AS1	Approved		1987	105369352
KLC2-AS2	Approved		1987	105369351
KLC3	Approved		769	147700
KLC4	Approved	KNSL8	769	89953
KLC4-AS1	Approved		1987	112267958
KLF1	Approved		28|624	10661
KLF2	Approved		28|624	10365
KLF2-DT	Approved		1990	
KLF2P1	Approved			
KLF2P2	Approved			
KLF2P3	Approved			
KLF2P4	Approved			100533668
KLF3	Approved		624|28	51274
KLF3-AS1	Approved		1987	79667
KLF3P1	Approved			651815
KLF3P2	Approved			100124394
KLF4	Approved		624|28	9314
KLF4P1	Approved			100420113
KLF5	Approved	BTEB2	28|624	688
KLF6	Approved	BCD1, ST12, COPEB	28|624	1316
KLF7	Approved		624|1691|28	8609
KLF7-IT1	Approved		1989	
KLF7P1	Approved	KLF7P		100128036
KLF8	Approved		28|624	11279
KLF8P1	Approved			100128777
KLF9	Approved	BTEB1	624|28	687
KLF9-DT	Approved		1990	101927086
KLF10	Approved	TIEG	624|28	7071
KLF11	Approved	TIEG2	28|624	8462
KLF11-DT	Approved		1990	101929882
KLF12	Approved		624|28	11278
KLF13	Approved		28|624	51621
KLF14	Approved		28|624	136259
KLF15	Approved		624|28	28999
KLF16	Approved		624|28	83855
KLF17	Approved	ZNF393	624|28	128209
KLF17P1	Approved			100133321
KLF17P2	Approved			
KLF18	Approved		624	105378952
KLHDC1	Approved			122773
KLHDC2	Approved			23588
KLHDC3	Approved			116138
KLHDC4	Approved			54758
KLHDC7A	Approved			127707
KLHDC7B	Approved			113730
KLHDC7B-DT	Approved		1990	105373098
KLHDC8A	Approved			55220
KLHDC8B	Approved			200942
KLHDC9	Approved			126823
KLHDC10	Approved			23008
KLHL1	Approved		617|861	57626
KLHL2	Approved		861|617	11275
KLHL2P1	Approved			729249
KLHL3	Approved		617|861|1691	26249
KLHL4	Approved		861|617	56062
KLHL5	Approved		617|861	51088
KLHL5P1	Approved			100129358
KLHL6	Approved		861|617	89857
KLHL6-AS1	Approved		1987	
KLHL7	Approved		861|617	55975
KLHL7-DT	Approved	KLHL7-AS1	1990	100775104
KLHL8	Approved		861|617	57563
KLHL9	Approved		617|861	55958
KLHL10	Approved		861|617	317719
KLHL11	Approved		861|617	55175
KLHL12	Approved		861|617	59349
KLHL12P1	Approved			100420177
KLHL13	Approved	BKLHD2, KIAA1309	861|617	90293
KLHL14	Approved		861|617	57565
KLHL15	Approved		861|617	80311
KLHL17	Approved		861|617	339451
KLHL18	Approved		861|617	23276
KLHL20	Approved		861|617	27252
KLHL21	Approved		617|861	9903
KLHL22	Approved		617|861	84861
KLHL23	Approved		617|861	151230
KLHL24	Approved		861|617	54800
KLHL25	Approved		861|617|1691	64410
KLHL25P1	Approved			
KLHL26	Approved		617|861	55295
KLHL28	Approved	BTBD5	617|861	54813
KLHL29	Approved	KBTBD9	617|861	114818
KLHL30	Approved		861|617	377007
KLHL30-AS1	Approved	C2orf19	1987	394261
KLHL31	Approved	KBTBD1	617|861	401265
KLHL32	Approved	BKLHD5, KIAA1900	861|617	114792
KLHL33	Approved		617	123103
KLHL34	Approved		861|617	257240
KLHL35	Approved		861|617	283212
KLHL36	Approved	C16orf44	861|617	79786
KLHL38	Approved		617|861	340359
KLHL40	Approved	KBTBD5	861|617	131377
KLHL41	Approved	KBTBD10	617|861	10324
KLHL42	Approved	KLHDC5	617	57542
KLK1	Approved		616	3816
KLK2	Approved		616	3817
KLK3	Approved	APS	616	354
KLK4	Approved	PRSS17	616|738	9622
KLK5	Approved		616	25818
KLK6	Approved	PRSS9, PRSS18	616|738	5653
KLK7	Approved	PRSS6	738|616	5650
KLK8	Approved	PRSS19	616|738	11202
KLK9	Approved		616	284366
KLK10	Approved	PRSSL1	616	5655
KLK11	Approved	PRSS20	616|738	11012
KLK12	Approved		616	43849
KLK13	Approved		616	26085
KLK14	Approved		616	43847
KLK15	Approved		616	55554
KLKB1	Approved	KLK3	616	3818
KLKP1	Approved			606293
KLLN	Approved			100144748
KLRA1P	Approved	KLRA1, KLRAP1	621	10748
KLRB1	Approved	NKR	621|1298|471	3820
KLRC1	Approved	NKG2	1298|471|621	3821
KLRC2	Approved		621|1298|471	3822
KLRC3	Approved		1298|621	3823
KLRC4	Approved		621	8302
KLRC4-KLRK1	Approved			100528032
KLRD1	Approved	CD94	621|1298|471	3824
KLRF1	Approved		621|1298	51348
KLRF2	Approved		1298|621	100431172
KLRG1	Approved		1298|621	10219
KLRG2	Approved		621|1298	346689
KLRK1	Approved	D12S2489E	621|1298|471	22914
KLRK1-AS1	Approved		1987	101928100
KMO	Approved		2258	8564
KMS	Entry Withdrawn			
KMT2A	Approved	MLL	487|88|1232|1399|136	4297
KMT2B	Approved		136|1399|88|487	9757
KMT2C	Approved	MLL3	1399|487|88	58508
KMT2CP1	Approved			101927429
KMT2CP2	Approved			
KMT2CP3	Approved			
KMT2CP4	Approved			101927050
KMT2CP5	Approved			107985798
KMT2D	Approved	TNRC21, MLL2	487|1399|88	8085
KMT2E	Approved	MLL5	1399|487|88	55904
KMT2E-AS1	Approved		1987	100216545
KMT5A	Approved	SETD8	487|1399	387893
KMT5AP1	Approved	SETD8P1		57108
KMT5AP2	Approved			100421788
KMT5AP3	Approved			100421819
KMT5B	Approved	SUV420H1	487	51111
KMT5C	Approved	SUV420H2	1399|487	84787
KNCN	Approved			148930
KNDC1	Approved	RASGEF2, C10orf23		85442
KNG1	Approved	KNG, BDK, HK	967|1902	3827
KNL1	Approved	MCPH4, CASC5	1575|694	57082
KNO	Symbol Withdrawn			
KNOP1	Approved	C16orf88		400506
KNOP1P1	Approved			100129937
KNOP1P2	Approved			100420898
KNOP1P3	Approved			100128029
KNOP1P4	Approved			100420843
KNOP1P5	Approved			100130158
KNPEP	Entry Withdrawn			
KNS1	Symbol Withdrawn			
KNSTRN	Approved	C15orf23		90417
KNTC1	Approved		1933	9735
KPLCE	Approved	C1orf68		100129271
KPNA1	Approved		596|409	3836
KPNA2	Approved	RCH1	409|596	3838
KPNA2P1	Approved			643513
KPNA2P2	Approved			645680
KPNA2P3	Approved			109286552
KPNA3	Approved		596|409	3839
KPNA3-IT1	Entry Withdrawn			
KPNA4	Approved		409|596	3840
KPNA4P1	Approved			100421109
KPNA5	Approved		596|409	3841
KPNA6	Approved		409|596	23633
KPNA7	Approved		409|596	402569
KPNB1	Approved		596|409	3837
KPNB1-DT	Approved		1990	112268184
KPNB1P1	Approved			100131072
KPP	Symbol Withdrawn			
KPRP	Approved	C1orf45		448834
KPTN	Approved		1393	11133
KRAG	Symbol Withdrawn			
KRAS	Approved	KRAS2	389	3845
KRASP1	Approved	KRAS1P		3844
KRBA1	Approved			84626
KRBA2	Approved			124751
KRBOX1	Approved			100506243
KRBOX1-AS1	Approved		1987	100506275
KRBOX4	Approved	ZNF673		55634
KRBOX5	Approved	ZNF720		124411
KRBOX5P1	Approved	ZNF720P1		342426
