Approved symbol	Status	Previous symbols	Gene group ID	NCBI Gene ID
KAT14	Approved	CSRP2BP	486|1134|1058	57325
KATNA1	Approved		413	11104
KATNAL1	Approved		413	84056
KATNAL2	Approved		413	83473
KATNB1	Approved		362	10300
KATNBL1	Approved	C15orf29		79768
KATNBL1P1	Approved			100420919
KATNBL1P2	Approved			100130235
KATNBL1P3	Approved			100420946
KATNBL1P4	Approved			100128982
KATNBL1P5	Approved			100420841
KATNBL1P6	Approved			729176
KATNIP	Approved	KIAA0556		23247
KAZALD1	Approved		593	81621
KAZN	Approved	C1orf196	760	23254
KAZN-AS1	Approved		1987	
KBTBD2	Approved	BKLHD1	861	25948
KBTBD3	Approved	BKLHD3	861	143879
KBTBD4	Approved	BKLHD4	861	55709
KBTBD6	Approved		861	89890
KBTBD6-DT	Approved		1990	101929140
KBTBD7	Approved		861	84078
KBTBD8	Approved		861	84541
KBTBD11	Approved		861	9920
KBTBD11-AS1	Approved		1987	101928058
KBTBD11-OT1	Approved		1988	
KBTBD12	Approved	KLHDC6	861	166348
KBTBD13	Approved		861	390594
KCMF1	Approved		91	56888
KCNA1	Approved	AEMK	274	3736
KCNA2	Approved		274	3737
KCNA3	Approved		274	3738
KCNA4	Approved	KCNA4L	274	3739
KCNA4L	Symbol Withdrawn			
KCNA5	Approved		274	3741
KCNA6	Approved		274|694	3742
KCNA7	Approved		274	3743
KCNA9	Symbol Withdrawn			
KCNA10	Approved		274	3744
KCNAB1	Approved		858|399	7881
KCNAB1-AS1	Approved		1987	
KCNAB1-AS2	Approved		1987	
KCNAB2	Approved		399|858	8514
KCNAB3	Approved		858|399	9196
KCNB1	Approved		274	3745
KCNB2	Approved		274	9312
KCNC1	Approved		274	3746
KCNC2	Approved		274	3747
KCNC3	Approved	SCA13	274	3748
KCNC4	Approved	C1orf30	274	3749
KCNC4-DT	Approved	KCNC4-AS1, LINC02586	1990	100873974
KCND1	Approved		274	3750
KCND2	Approved		274	3751
KCND3	Approved	SCA22, SCA19	274	3752
KCND3-AS1	Approved		1987	
KCND3-IT1	Approved		1989	
KCNE1	Approved		858	3753
KCNE1B	Entry Withdrawn		858	
KCNE2	Approved		858	9992
KCNE3	Approved		858	10008
KCNE4	Approved		858	23704
KCNE5	Approved	KCNE1L	858	23630
KCNF	Symbol Withdrawn			
KCNF1	Approved	KCNF	274	3754
KCNG	Symbol Withdrawn			
KCNG1	Approved	KCNG	274	3755
KCNG2	Approved		274	26251
KCNG3	Approved		274	170850
KCNG4	Approved		274	93107
KCNH1	Approved		2127|274	3756
KCNH1-IT1	Approved		1989	
KCNH2	Approved	LQT2	2127|274	3757
KCNH3	Approved		2127|274	23416
KCNH4	Approved		2127|274	23415
KCNH5	Approved		2127|274	27133
KCNH6	Approved		2127|274	81033
KCNH7	Approved		2127|274	90134
KCNH7-AS1	Approved		1987	101929570
KCNH8	Approved		2127|274	131096
KCNIP1	Approved		863|858	30820
KCNIP1-AS1	Approved		1987	105377716
KCNIP1-OT1	Approved		1988	101928033
KCNIP2	Approved		858|863	30819
KCNIP2-AS1	Approved		1987	100289509
KCNIP3	Approved	CSEN	863|858	30818
KCNIP4	Approved		858|1691|863	80333
KCNIP4-IT1	Approved	NCRNA00099	1989	359822
KCNJ1	Approved		276	3758
KCNJ2	Approved		276	3759
KCNJ2-AS1	Approved		1987	400617
KCNJ3	Approved		276	3760
KCNJ4	Approved		276	3761
KCNJ5	Approved		276	3762
KCNJ5-AS1	Approved	C11orf45	1987	219833
KCNJ6	Approved	KCNJ7	276	3763
KCNJ6-AS1	Approved	KCNJ6-IT1	1987	
KCNJ7	Symbol Withdrawn			
KCNJ8	Approved		276	3764
KCNJ9	Approved		276	3765
KCNJ10	Approved		276	3766
KCNJ11	Approved		276	3767
KCNJ12	Approved	KCNJN1	276	3768
KCNJ13	Approved		276	3769
KCNJ14	Approved		276	3770
KCNJ15	Approved		276	3772
KCNJ16	Approved		276	3773
KCNJ18	Approved		276	100134444
KCNJN1	Symbol Withdrawn			
KCNK1	Approved		277|1691	3775
KCNK2	Approved		277	3776
KCNK3	Approved		277	3777
KCNK4	Approved		277	50801
KCNK4-CATSPERZ	Approved			106780802
KCNK5	Approved		277	8645
KCNK6	Approved		277	9424
KCNK7	Approved		277	10089
KCNK9	Approved		277	51305
KCNK10	Approved		277|694	54207
KCNK11	Symbol Withdrawn			
KCNK12	Approved		277	56660
KCNK13	Approved		277	56659
KCNK14	Symbol Withdrawn			
KCNK15	Approved	KCNK11, KCNK14	277	60598
KCNK15-AS1	Approved		1987	106144538
KCNK16	Approved		277	83795
KCNK17	Approved		277	89822
KCNK18	Approved		277	338567
KCNMA1	Approved	SLO	255	3778
KCNMA1-AS1	Approved		1987	101929328
KCNMA1-AS2	Approved		1987	101929310
KCNMA1-AS3	Approved		1987	101929286
KCNMB1	Approved		857	3779
KCNMB2	Approved		857	10242
KCNMB2-AS1	Approved		1987	
KCNMB3	Approved	KCNMB2, KCNMBL	857	27094
KCNMB3P1	Approved	KCNMB2L, KCNMBLP, KCNMB3L		27093
KCNMB4	Approved		857	27345
KCNN1	Approved		255	3780
KCNN2	Approved		255	3781
KCNN3	Approved		255	3782
KCNN4	Approved		255	3783
KCNQ1	Approved	LQT, KCNA9	274	3784
KCNQ1-AS1	Approved		1987	338653
KCNQ1DN	Approved		1992	55539
KCNQ1OT1	Approved		1992	10984
KCNQ2	Approved	EBN, EBN1	274	3785
KCNQ2-AS1	Approved		1987	105372720
KCNQ3	Approved	EBN2	274	3786
KCNQ4	Approved	DFNA2	274	9132
KCNQ5	Approved		274	56479
KCNQ5-AS1	Approved		1987	
KCNQ5-AS2	Entry Withdrawn			
KCNQ5-DT	Approved		1990	112267960
KCNQ5-IT1	Approved		1989	100507381
KCNRG	Approved			283518
KCNS1	Approved		274	3787
KCNS2	Approved		274	3788
KCNS3	Approved		274	3790
KCNT1	Approved		856	57582
KCNT2	Approved		856|1691	343450
KCNU1	Approved		255	157855
KCNV1	Approved		274	27012
KCNV2	Approved		274	169522
KCP	Approved	CRIM2	1660	375616
KCS	Symbol Withdrawn			
KCTD1	Approved	C18orf5	1691|1815	284252
KCTD2	Approved		1815	23510
KCTD3	Approved		1815|362	51133
KCTD4	Approved		1815	386618
KCTD5	Approved		1815	54442
KCTD5P1	Approved			100422094
KCTD6	Approved		1815	200845
KCTD7	Approved		1815	154881
KCTD8	Approved		1815	386617
KCTD9	Approved		1815|861	54793
KCTD9P1	Approved			100422273
KCTD9P2	Approved	KCTD9L		643535
KCTD9P3	Approved			647013
KCTD9P4	Approved			100422242
KCTD9P5	Approved			100422179
KCTD9P6	Approved			642513
KCTD10	Approved		1815|861	83892
KCTD10P1	Approved			100422230
KCTD11	Approved	C17orf36	1815	147040
KCTD12	Approved	C13orf2	1815	115207
KCTD13	Approved		1815	253980
KCTD13-DT	Approved		1990	107984836
KCTD14	Approved		1815	65987
KCTD15	Approved		1815	79047
KCTD16	Approved		1815	57528
KCTD17	Approved		1815	79734
KCTD18	Approved		1815	130535
KCTD19	Approved		1815	146212
KCTD20	Approved	C6orf69	1815	222658
KCTD21	Approved		1815	283219
KCTD21-AS1	Approved		1987	100289388
KDELR1	Approved		1894	10945
KDELR2	Approved		1894	11014
KDELR3	Approved		1894	11015
KDF1	Approved	C1orf172		126695
KDM1A	Approved	AOF2, KDM1	485|1691|2258	23028
KDM1B	Approved	C6orf193, AOF1	2258|485|96	221656
KDM2A	Approved	FBXL11	558|136|485|88	22992
KDM2B	Approved	FBXL10	558|88|136|485|1691	84678
KDM2B-DT	Approved		1990	101928346
KDM3A	Approved	JMJD1, JMJD1A	485	55818
KDM3AP1	Approved			100420666
KDM3B	Approved	C5orf7, JMJD1B	485	51780
KDM4A	Approved	JMJD2, JMJD2A	485|780	9682
KDM4A-AS1	Approved		1987	100132774
KDM4B	Approved	JMJD2B	780|485	23030
KDM4C	Approved	JMJD2C	485|780	23081
KDM4D	Approved	JMJD2D	485	55693
KDM4E	Approved	KDM4DL	485	390245
KDM4F	Approved		485	100129053
KDM5A	Approved	RBBP2, JARID1A	418|88|485|1243	5927
KDM5B	Approved	JARID1B	418|88|485	10765
KDM5C	Approved	SMCX, JARID1C, MRX13	418|88|485|1691	8242
KDM5C-IT1	Approved		1989	
KDM5D	Approved	HYA, HY, SMCY, JARID1D	485|870|88|418	8284
KDM5DP1	Approved			359796
KDM6A	Approved	UTX	769|485	7403
KDM6B	Approved	JMJD3	485	23135
KDM7A	Approved	JHDM1D	485|88	80853
KDM7A-DT	Approved	JHDM1D-AS1	1990	100134229
KDM8	Approved	JMJD5	485	79831
KDR	Approved		593|471|321|590	3791
KDSR	Approved	FVT1	743	2531
KDSR-DT	Approved		1990	
KEAP1	Approved		617|861	9817
KEL	Approved		1439|454|471	3792
KERA	Approved	CNA2	573	11081
KERSMCR	Symbol Withdrawn			
KFM	Entry Withdrawn	KFS		
KFS	Symbol Withdrawn			
KFSD	Symbol Withdrawn			
KGD4	Approved	MRPS36	2022	92259
KGFR	Symbol Withdrawn			
KHDC1	Approved	C6orf148, C6orf147		80759
KHDC1-AS1	Approved		1987	
KHDC1L	Approved			100129128
KHDC1P1	Approved			653194
KHDC3L	Approved	C6orf221	1684	154288
KHDC4	Approved	KIAA0907	1835	22889
KHDRBS1	Approved		1275	10657
KHDRBS2	Approved	KHDRBS2-OT1, KHDRBS2-OT	1275	202559
KHDRBS2-OT1	Symbol Withdrawn	KHDRBS2-OT	1988	
KHDRBS3	Approved		1275	10656
KHK	Approved			3795
KHNYN	Approved	KIAA0323		23351
KHRBP1	Symbol Withdrawn	KHRBP1		
KHSRP	Approved		1691	8570
KHSRPP1	Approved			402359
KIAA0040	Approved			9674
KIAA0087	Approved		1992	9808
KIAA0125	Symbol Withdrawn	C14orf110		
KIAA0232	Approved			9778
KIAA0319	Approved			9856
KIAA0319L	Approved			79932
KIAA0367	Symbol Withdrawn	KIAA0367		
KIAA0408	Approved			9729
KIAA0507	Symbol Withdrawn	KIAA0507		
KIAA0513	Approved			9764
KIAA0586	Approved			9786
KIAA0753	Approved			9851
KIAA0754	Symbol Withdrawn			
KIAA0825	Approved	C5orf36	1492	285600
KIAA0895LP1	Approved			100128238
KIAA0930	Approved	C22orf9	1691	23313
KIAA1107	Symbol Withdrawn			
KIAA1143	Approved			57456
KIAA1143P1	Approved			644295
KIAA1143P2	Approved			107986034
KIAA1191	Approved			57179
KIAA1191P1	Approved			100418710
KIAA1191P2	Approved			100127938
