,ACOT6,ACP4,ADAM15,ADAMTS19,ADPRS,ALDH3B2,ALDH7A1,ANO1,APLNR,ARIH1,ATM,ATP2A2,BARX2,BIRC6,CAPN15,CAPN8,CARD8,CBLIF,CDC42,CDC42SE2,CDK11A,CERS2,CFD,CHD8,CHRFAM7A,CHSY3,CKM,CKS2,CNOT3,COPS2,COPS6,CSF2,CSNK1G3,CTNNB1,CTSL,CYP11B1,CYP2A7,DAD1,DDB1,DDX41,DHX38,DLEC1,DMTF1,DNA2,DUSP1,DYNLL1,E4F1,EGLN1,EIF4A3,ELOA,ETF1,FANCM,FFAR3,FGF1,FOLR1,FOXJ2,FOXJ3,FPR3,FURIN,FXYD2,GABBR1,GPR176,GPR4,GRK2,GRK5,GSK3A,GSPT1,GTF2B,GUCY1A1,HESX1,HSPA2,HSPA5,HTR6,HYOU1,IKZF4,IL5,INPPL1,JUN,KCNAB1,KCNJ5,KIF5B,KLF13,LEPR,LZTR1,MAP2K1,MAP2K7,MAP3K6,MAPK7,MBD1,MIR9-1HG,MKNK2,MKRN1,MPP4,NAE1,NANP,NCS1,NDOR1,NFKBIB,NFRKB,NFYA,NFYB,NFYC,NTF4,NXF1,OGA,OGT,PCSK7,PCYT1A,PDCL,PDE6H,PHYHD1,PKIB,PKMYT1,POLA2,POLR2G,POU6F2,PPFIA1,PPIC,PPP1CB,PPP1R12A,PPP2R1A,PRDM10,PRIM1,PRKACB,PRKCE,PTBP1,PUS3,PYGM,RAN,RC3H2,REST,REV3L,RPN1,SAE1,SCN8A,SEC16A,SLC17A7,SLC26A5,SLK,SMPDL3B,SRD5A1,SSBP2,STK11,STT3A,STX18,TCIRG1,THAP11,TNFRSF4,TRAF3,TRIM48,UBA2,VCP,VHL,VN1R2,XAB2,YARS1,ZNF302,ZNF467,ZNF83
KIF5B,0.0499827,-0.31500977,-0.33402875,-0.22448972,0.4491298,-0.46211052,-0.21483651,-0.2736777,0.28584367,-0.1640607,0.47167197,0.2860269,0.3074739,0.57664424,-0.19356182,-0.07883646,0.23956388,-0.42269224,0.03985977,-0.23310582,-0.42544743,-0.29300287,-0.32630327,-0.1452783,-0.27574274,-0.13285121,0.2659295,-0.06029519,0.14723563,-0.03224329,-0.12832989,-0.12709,-0.22777435,0.21782385,-0.055173438,-0.35913908,-0.21115646,0.37525836,0.12088495,-0.3942982,-0.4082153,-0.36293256,-0.121008575,0.05827473,-0.23534629,0.76909006,-0.21856529,-0.4611619,-0.047882676,0.517007,0.26518068,0.03857979,0.21852805,0.37614226,-0.36685094,-0.15804137,-0.23078923,0.24294347,0.34885818,0.3093832,0.1500917,-0.31030867,0.30407554,-0.46040085,0.04803713,0.22067223,0.36773193,-0.48998263,-0.13460469,0.2801241,0.10130884,-0.034571845,-0.3242128,0.556596,-0.19646193,-0.06628444,-0.40440097,0.021756334,0.07333664,0.39635336,1.0,-0.37300017,-0.23747681,0.18507718,-0.27329114,0.29344037,0.013140952,0.49444634,0.18884197,0.10392907,-0.1807891,0.15038207,0.070707105,-0.43930665,-0.4385566,0.42520505,-0.37809277,0.11538334,0.22662495,0.04484931,0.13320287,0.01903949,0.17970441,0.0108080525,0.27064535,-0.2907267,0.17166495,0.32399428,-0.015865989,0.2980047,0.47909862,-0.3619294,0.33708608,0.069305934,-0.06593605,-0.32891333,-0.6218901,-0.23806806,-0.048670746,-0.07642242,-0.037610784,0.5641605,0.043218516,-0.3356183,0.10133026,-0.60044056,0.27094674,-0.29137734,0.07060048,-0.12847704,-0.1669847,-0.0924404,0.51168495,0.23774748,-0.1912069,0.45399287,-0.24550743,-0.16049668,0.14561099,-0.13266163,-0.050828908,0.15600121,-0.6123111,0.25198188,0.04252984,-0.40977496,0.37968844,-0.31109855,0.44403136,-0.3647519,0.11328188,-0.08654134,-0.43672508,0.2853929,-0.118522346,0.5513857,0.34204817,-0.11462106,0.16713269
KLF13,0.023737976,0.44863626,0.5535273,0.26768687,-0.49254963,0.44942665,0.35496658,0.4747869,-0.42641252,0.38734236,-0.40629748,-0.2540291,-0.5612934,-0.58395386,0.22810695,0.14033452,-0.5164062,0.3914453,0.046614397,0.31825414,0.41222474,0.40116984,0.45389688,0.34366125,0.4633685,0.21179165,-0.37200534,-0.1989076,-0.44618353,0.34283838,0.46016976,0.27873632,0.2582942,-0.23774326,0.34634143,0.567416,0.42815587,-0.41759074,0.24647906,0.4887181,0.4841498,0.50221103,0.42989537,0.31324038,0.3762586,-0.4468708,0.34452802,0.049026016,-0.012462825,-0.5134583,-0.37821957,0.354852,-0.4156118,-0.104742914,0.486933,0.37021664,0.31960872,-0.41370842,-0.4709349,-0.49387524,0.018032586,0.5200279,-0.4726161,0.5857646,0.17377798,-0.421261,-0.42192838,0.35475498,0.23201548,-0.47048217,-0.07325408,-0.021220244,0.40753055,-0.59296346,0.45702556,0.2832732,0.5115776,-0.41118288,-0.055517647,-0.39287478,-0.37300017,1.0,0.07986662,-0.42965338,0.5609104,-0.548342,-0.24872106,-0.30799398,-0.36437106,-0.15590002,0.44246078,-0.041957352,0.09617509,0.5080252,0.44458866,-0.41609624,0.31146175,-0.2806777,-0.480623,0.31723318,0.09556341,0.21515161,-0.36994305,0.06554686,-0.22731355,0.28379476,-0.3401107,-0.43716225,-0.38991198,-0.42847717,-0.39593852,0.43605524,-0.34164482,0.22170947,0.03055818,0.39739063,0.55948526,0.33796874,0.27570492,0.34594372,-0.15764292,-0.6093207,0.17531244,0.4511307,-0.4944796,0.42656428,-0.40118092,0.48881242,-0.016707102,0.37349358,0.3898734,0.2663287,-0.40389904,-0.47649837,0.43865567,-0.42046085,0.43232486,0.5519348,-0.06940973,0.47997296,0.023200423,0.14824015,0.2932633,-0.47869784,-0.0781086,0.4975569,-0.44897726,0.39118528,-0.16380987,0.531083,-0.44857216,0.082107045,0.1545785,-0.48244032,0.09868157,-0.47798458,-0.46409404,-0.12559636,-0.3550261
LEPR,0.19017738,0.07369363,0.0024495057,0.0947298,-0.34048203,0.076636545,-0.035486974,0.061873462,-0.10226916,-0.16495588,-0.3627144,0.09330526,0.07326972,-0.28414345,-0.22880915,0.033795796,0.077100284,0.22233059,0.04889013,-0.051461175,0.29103735,0.10479185,0.16627239,0.017070208,-0.12403557,0.22176069,0.11798634,0.20867006,0.05146143,0.07998735,0.068703264,0.22773045,0.21152672,0.1007388,0.064190395,-0.07758567,0.14826775,-0.028825242,-0.07076359,-0.012119664,-0.00014360808,-0.07478675,-0.10615278,-0.22802721,0.21443646,-0.30831766,0.17683123,0.33663946,0.16187392,-0.3966102,-0.10584329,-0.23921183,-0.06508087,-0.61532706,-0.041780066,-0.004257469,0.12583564,-0.08103104,-0.24233729,0.06393185,-0.27784538,-0.068933845,-0.08418624,0.097316556,-0.065061435,-0.17348395,-0.053270284,0.41941398,0.103012174,-0.07047573,-0.13831039,0.17536665,0.049098812,-0.14735092,-0.080380425,0.0142741,-0.002053096,-0.23977381,-0.1521447,-0.05851727,-0.23747681,0.07986662,1.0,0.0028662365,0.08581918,-0.2146811,-0.14696011,-0.24590497,0.1351256,-0.08793414,-0.13579583,-0.10367493,-0.1295501,0.27721024,0.037188426,-0.19179337,-0.034562603,-0.024219371,0.20912,-0.18011321,-0.19202563,-0.22889085,0.035013042,0.08734564,-0.309064,0.26911667,0.08514546,0.039061334,0.16412516,-0.15822813,-0.342277,0.22037539,0.007902244,-0.27882612,0.15910015,-0.0229234,0.19839367,0.105551824,-0.113699965,-0.05462375,0.19942507,-0.0691536,-0.24327087,0.18735461,0.20160545,0.19021831,0.057228986,0.101708256,0.17234229,-0.043633934,0.10502986,-0.058190983,-0.15852846,0.01963361,0.123032264,0.10488087,0.07536485,-0.04231862,-0.1878027,-0.19196409,-0.021517588,-0.21115947,0.3569965,0.027328754,0.04276755,0.118151315,-0.24279836,0.21532546,-0.22749023,0.13854486,-0.049253263,0.24215591,0.19000176,-0.0018187447,0.19881605,-0.28842676,-0.020503918,0.13123196,0.06410462
LZTR1,-0.063959,-0.3563511,-0.5383237,-0.31840548,0.19436514,-0.20903222,-0.38893518,-0.3465386,0.29300007,-0.30871093,0.31361052,0.07865085,0.42818505,0.30306283,-0.23229797,0.021671053,0.46751377,-0.38177514,0.028239978,-0.41096142,-0.35145816,-0.3864447,-0.260686,-0.3237417,-0.37853172,-0.33047378,0.40260166,0.20309298,0.52454007,-0.3790142,-0.3352195,-0.19378369,-0.24830341,0.17352292,-0.37675944,-0.5626342,-0.39491865,0.3530129,-0.21040352,-0.47661817,-0.45058542,-0.40019384,-0.61589,-0.33084667,-0.30851516,0.28634784,-0.39889574,0.030454567,0.016383957,0.44417986,0.1665195,-0.3819133,0.41504645,-0.015725873,-0.37507862,-0.3016715,-0.2223208,0.4421309,0.25803453,0.45676112,-0.16704455,-0.44103286,0.46886668,-0.37153304,-0.1585079,0.49467984,0.25005814,-0.0625477,-0.3558333,0.56606,-0.09695089,-0.041237235,-0.41129273,0.4315616,-0.44275025,-0.28586882,-0.39298287,0.36120188,0.023115203,0.3066164,0.18507718,-0.42965338,0.0028662365,1.0,-0.33988985,0.5022216,0.33828256,0.23540637,0.58835953,-0.09622498,-0.28682035,0.044582613,0.19401033,-0.33608073,-0.23437414,0.45973212,-0.27262083,0.44457877,0.40671873,-0.37785164,-0.13554111,-0.24798553,0.34763968,-0.03188669,0.16784501,-0.03783938,0.20711619,0.17132851,0.15584403,0.16409773,0.3306136,-0.39765495,0.07810833,-0.25515044,-0.04967127,-0.6166965,-0.42878127,-0.3109521,-0.24810708,-0.41576067,-0.2808944,0.50127685,-0.14406145,-0.21341982,0.38128397,-0.2554562,0.3654761,-0.3709787,0.034219578,-0.5532249,-0.3129811,-0.21641377,0.24529243,0.3283206,-0.451991,0.1982554,-0.30395004,-0.4273627,-0.011471345,-0.4135273,-0.039173976,-0.52472836,-0.17118233,0.16806218,-0.027169136,-0.4097582,0.28598347,-0.33831283,0.13265923,-0.5090356,0.260647,-0.11219372,-0.08556569,0.41785565,-0.11499438,0.32253122,0.4317181,0.23713341,0.396789
MAP2K1,0.10067015,0.59548014,0.37064427,0.596983,-0.25433907,0.2724464,0.50243497,0.36328405,-0.36555222,0.46009794,-0.5253701,-0.19503237,-0.43858328,-0.28761348,0.25120082,0.3280812,-0.6507512,0.28642258,0.09720023,0.57680386,0.47365013,0.3584843,0.2986149,0.6063236,0.25895303,0.4429224,-0.6360723,-0.18708488,-0.58183897,0.30214792,0.35490742,0.53308237,0.58262944,-0.29377326,0.47697172,0.4155636,0.62361556,-0.27197164,0.26985484,0.37855276,0.3437975,0.567514,0.36578587,0.2619598,0.3258908,-0.38208088,0.20056295,-0.10696751,0.106052876,-0.39471483,-0.3213115,0.30823234,-0.688852,-0.13813773,0.4002736,0.20155255,0.4403732,-0.69571567,-0.48296258,-0.48809478,-0.056118846,0.36217323,-0.6411138,0.39703634,0.038084965,-0.57509553,-0.3659007,0.1822374,0.12031182,-0.4503778,-0.14244978,0.10313884,0.2034967,-0.37136924,0.58906025,0.5568764,0.39775553,-0.36390048,-0.2406717,-0.37154672,-0.27329114,0.5609104,0.08581918,-0.33988985,1.0,-0.44531333,-0.1785788,-0.26321515,-0.33562133,-0.36428308,0.3385795,-0.102287225,0.12646914,0.53355503,0.38325462,-0.41274887,0.23890649,-0.5308229,-0.43384904,0.3104171,0.12653032,0.20503719,-0.4701313,0.16614924,-0.010950834,0.05929793,-0.29766905,-0.33214235,-0.39458418,-0.19396952,-0.30413094,0.55878687,-0.2582282,0.23354435,0.14460516,0.27161765,0.33331048,0.52964085,0.46510532,0.5127765,-0.04969169,-0.49215266,0.2737263,0.26263872,-0.32055253,0.32537273,-0.4735998,0.44248205,0.043396797,0.38192686,0.45967567,0.20292765,-0.29848498,-0.55767274,0.6145793,-0.24161486,0.60041857,0.45280102,-0.16184378,0.4118897,-0.1344851,0.26116803,0.2277417,-0.4609459,0.16995749,0.3383988,-0.27620727,0.33616433,0.11576628,0.493794,-0.42277372,0.19341649,0.0074721253,-0.6242777,0.17766866,-0.2792578,-0.64862686,-0.21183646,-0.5579926
MAP2K7,0.0875808,-0.5192872,-0.5416172,-0.24385223,0.5889342,-0.5023657,-0.28960812,-0.54988724,0.5846722,-0.5600781,0.57602644,0.33777794,0.5877678,0.48664954,-0.17965011,-0.22137086,0.45805967,-0.40484956,0.16718258,-0.31392977,-0.41256315,-0.57922184,-0.7166521,-0.40313408,-0.58134806,-0.27507642,0.2647627,0.39654848,0.38993225,-0.6213315,-0.62329346,-0.26660016,-0.21676825,0.39686632,-0.25376418,-0.66638315,-0.41121912,0.5499458,-0.45837578,-0.41682214,-0.5040447,-0.43736753,-0.5448443,-0.42997554,-0.6748115,0.43007764,-0.6397171,-0.0754259,0.11251781,0.65746725,0.6069099,-0.48279423,0.34015632,0.11551499,-0.5854794,-0.6094551,-0.57254165,0.410785,0.64781225,0.54910266,-0.13911393,-0.61053324,0.53937036,-0.669745,-0.26358745,0.43728784,0.6171136,-0.4944917,-0.5965993,0.57811004,-0.02257062,0.10239026,-0.6527551,0.5945643,-0.5341142,-0.27750272,-0.6521575,0.777661,-0.0073546544,0.56541026,0.29344037,-0.548342,-0.2146811,0.5022216,-0.44531333,1.0,0.7582356,0.34836826,0.3860123,0.030369025,-0.5476154,-0.012059964,0.07674522,-0.54358673,-0.53498685,0.54919434,-0.6320371,0.28101277,0.4569436,-0.42128417,-0.33904642,-0.48317936,0.31051594,0.10976047,0.3658219,-0.3654396,0.44689327,0.41779515,0.4283954,0.5958371,0.4987457,-0.5913372,0.44127926,-0.3859442,0.12429505,-0.48658586,-0.58383703,-0.49023238,-0.14853117,-0.3860242,-0.055973377,0.72648036,-0.3308208,-0.6201298,0.44044498,-0.5154541,0.5210912,-0.5931018,0.06030622,-0.61246276,-0.59746534,-0.5307837,0.53797245,0.6526431,-0.41278276,0.3921521,-0.306776,-0.5485676,-0.074366316,-0.53122145,-0.14234586,-0.15413453,-0.31166008,0.40934995,0.2939097,-0.5585865,0.60928386,-0.6922261,0.16549629,-0.54286945,0.64991534,0.038564328,-0.12845105,0.422368,0.060253505,0.68002397,0.43115982,0.037482187,0.3922375
MAP3K6,0.041452423,-0.28529736,-0.3521875,-0.028942807,0.40453196,-0.31291723,-0.043973424,-0.39564615,0.46410692,-0.3580885,0.32802412,0.24754025,0.3659315,0.1820591,-0.06456116,-0.17944369,0.214395,-0.1982562,0.27019972,-0.10341957,-0.18660529,-0.4450729,-0.57604116,-0.21338487,-0.42461738,-0.13424298,-0.03402875,0.3829041,0.229322,-0.5604529,-0.5140833,-0.03902649,-0.05317259,0.2534787,-0.07609511,-0.41948855,-0.16973485,0.34447348,-0.37554136,-0.09753659,-0.2577118,-0.11058836,-0.39668778,-0.2558014,-0.56467026,0.17316487,-0.53011674,0.004308922,0.13353993,0.45111445,0.45215687,-0.29421735,0.12712078,0.10566646,-0.36940372,-0.5879215,-0.4848975,0.18479362,0.4107172,0.24136093,-0.19879311,-0.5027185,0.25519392,-0.45014417,-0.2654285,0.24587967,0.43885857,-0.33045998,-0.6356792,0.3910266,-0.10061082,0.13533929,-0.60045683,0.30708852,-0.37612122,-0.09330047,-0.48702073,0.71600026,-0.12405596,0.39952648,0.013140952,-0.24872106,-0.14696011,0.33828256,-0.1785788,0.7582356,1.0,0.12268883,0.21260671,-0.13345768,-0.40259346,0.006086655,0.2022813,-0.24164644,-0.32203895,0.33186516,-0.5104355,0.048518423,0.2948917,-0.3619273,-0.32405165,-0.43013975,0.061447464,0.13985133,0.35612866,-0.35180455,0.24958259,0.26541832,0.37003708,0.52097803,0.38290596,-0.3643102,0.3330567,-0.3225559,0.11761386,-0.32983866,-0.31021425,-0.29817426,0.031689696,-0.14703427,-0.1701941,0.45611754,-0.31873885,-0.4874792,0.29467556,-0.30794737,0.28274694,-0.3937138,0.048693575,-0.46318537,-0.525018,-0.45487508,0.31457698,0.45914894,-0.22377042,0.20572853,-0.058141008,-0.47183275,-0.21753684,-0.38833708,-0.17242947,-0.08014501,-0.13417393,0.21675299,0.33639425,-0.38930893,0.47873628,-0.5221713,0.12058849,-0.30857885,0.47403476,0.059699286,0.025919693,0.13173984,0.12631676,0.4734448,0.124118514,0.063451365,0.15398876
MAPK7,0.14867367,-0.18787937,-0.3545844,-0.07522508,0.38537896,-0.34289035,-0.062322915,-0.2742823,0.27483982,-0.24024229,0.43029198,0.09399638,0.31544107,0.5580707,-0.07802752,-0.028597333,0.122535154,-0.38676786,0.04493033,-0.02449036,-0.23267965,-0.31594157,-0.27786726,-0.03871436,-0.3002091,0.058360234,0.16639163,-0.007979185,0.10027996,-0.098456785,-0.12596385,-0.0607739,-0.096153975,0.21353163,-0.003335082,-0.3877244,-0.16221298,0.27949208,0.1116086,-0.3297148,-0.41193682,-0.15917037,-0.2387922,-0.045809664,-0.37280282,0.56952053,-0.29648513,-0.40353882,0.1415092,0.4449274,0.2806094,-0.054547977,0.11107949,0.33353552,-0.34214926,-0.16132087,-0.15500785,0.168614,0.32812268,0.37754703,0.06980562,-0.24796507,0.1523757,-0.4020773,-0.17437065,0.11648658,0.32913622,-0.36768264,-0.27450097,0.2119684,-0.040835936,0.17613761,-0.36374384,0.44914475,-0.17818311,0.019742101,-0.39711058,0.15867831,-0.12951046,0.3862532,0.49444634,-0.30799398,-0.24590497,0.23540637,-0.26321515,0.34836826,0.12268883,1.0,0.22619082,0.05702252,-0.04548752,-0.08690499,0.064076945,-0.37589452,-0.36049387,0.26291633,-0.36343595,0.10202686,0.12404163,0.1400743,0.07093081,0.02006168,-0.0040210104,0.15199603,0.27791318,-0.107936785,0.14619745,0.09446087,-0.09947422,0.2667213,0.43233496,-0.24588516,0.13426238,-0.036109354,0.11569346,-0.33119884,-0.60606915,-0.16957,-0.120743975,-0.16639163,-0.06768665,0.5328304,-0.012095582,-0.2877731,-0.071333066,-0.3703781,0.23906663,-0.32940292,0.12776582,-0.18146905,-0.06727337,-0.20584923,0.3272057,0.19370444,-0.10831293,0.27395055,-0.14016058,-0.09281386,0.23081005,-0.17054386,-0.2223567,0.07075709,-0.45575574,0.18143438,0.1989598,-0.381042,0.36316743,-0.40837136,0.34591764,-0.38181925,0.22648066,0.09270287,-0.20863067,0.17100136,0.015227981,0.41573253,0.12484428,-0.1512066,0.14775847
MBD1,-0.008675903,-0.29520044,-0.4571061,-0.24598092,0.069276415,-0.23656277,-0.37812656,-0.3735133,0.37915352,-0.40962037,0.20974614,0.14564218,0.507836,0.26353556,-0.442648,-0.057767835,0.42594802,-0.37729764,0.14337234,-0.35860503,-0.25737548,-0.4193442,-0.284003,-0.34845144,-0.3987444,-0.24856144,0.38540104,0.31499356,0.5340791,-0.3080969,-0.2940454,-0.1920459,-0.20632954,0.28026527,-0.32040104,-0.52866703,-0.32404393,0.316923,-0.21730046,-0.5003739,-0.43638527,-0.4335347,-0.511794,-0.30896866,-0.24981447,0.18990462,-0.28632876,0.127872,0.023638828,0.31263107,0.18847592,-0.42844296,0.31069517,-0.10438431,-0.39150184,-0.25532258,-0.2527915,0.37753263,0.25037473,0.4494691,-0.19773054,-0.34720415,0.4505903,-0.3157925,-0.033819873,0.4536495,0.20791094,-0.027233694,-0.2638856,0.5759421,-0.0491384,0.06504887,-0.33371356,0.33533803,-0.46438146,-0.27436268,-0.37103957,0.2127558,0.03308943,0.262146,0.18884197,-0.36437106,0.1351256,0.58835953,-0.33562133,0.3860123,0.21260671,0.22619082,1.0,-0.10147064,-0.36174583,0.032622017,0.130583,-0.25471607,-0.32205123,0.33621177,-0.27787536,0.37085477,0.43134832,-0.4438701,-0.23073062,-0.36394793,0.30632532,0.011349212,0.17672783,-0.09238777,0.3421355,0.29726866,0.20433587,0.18540983,0.29031277,-0.3134651,0.228942,-0.29865605,-0.0734014,-0.4902292,-0.38754442,-0.29989403,-0.3145759,-0.5249306,-0.18583941,0.50410634,-0.27708974,-0.2496595,0.37612528,-0.32819518,0.37281823,-0.3526739,0.056120567,-0.55023736,-0.27006504,-0.31462824,0.20048003,0.33101505,-0.36647472,0.2936606,-0.2846502,-0.4151499,-0.16252013,-0.38867974,-0.046668835,-0.6142529,-0.16132656,0.26884437,-0.0351099,-0.3048882,0.20019472,-0.31486154,-0.00868927,-0.49817336,0.23421732,-0.010887964,0.04376134,0.33832225,-0.07576158,0.20502865,0.48605555,0.15210599,0.4072193
MIR9-1HG,-0.17238349,-0.26620513,-0.002595581,-0.27693415,0.13389373,-0.062658094,-0.14091967,0.034034573,0.06844973,-0.29231188,0.276094,0.17277455,0.13465373,0.16988334,-0.08415386,-0.60375786,0.27311045,-0.056844603,-0.054033022,-0.13441725,-0.22547723,0.06504596,-0.13944916,-0.33464274,0.018924337,-0.17622817,0.38403466,0.10010414,0.13948639,0.049370397,0.03202252,-0.3099004,-0.23730984,0.26340318,-0.08265199,0.023778822,-0.22420223,0.043015677,-0.038200784,-0.13720137,0.003860108,-0.3324306,0.055399507,-0.08985103,-0.1050976,0.093042344,0.2059238,0.2004307,-0.2906005,0.1107845,0.14296564,-0.06547833,0.35493726,0.10677523,-0.09978692,0.04110561,-0.107039765,0.2853912,0.25267276,0.17825322,0.2358562,-0.07479972,0.26395586,-0.12614433,0.14693578,0.18771638,0.25950423,0.012111198,0.20755781,0.01775279,0.18218473,-0.32275236,0.17418477,0.06987287,-0.23376128,-0.28521088,-0.09209965,0.0967028,0.21954589,0.1755642,0.10392907,-0.15590002,-0.08793414,-0.09622498,-0.36428308,0.030369025,-0.13345768,0.05702252,-0.10147064,1.0,-0.061824013,0.28938353,-0.39639667,-0.2477832,-0.13979383,0.11182477,0.047439016,0.10677943,0.16410375,-0.08370991,-0.099499315,-0.043623324,0.2401245,-0.3153529,-0.30656746,0.21173437,0.18998672,0.27860597,0.22443889,0.081270166,-0.015458378,-0.08737455,0.20566395,-0.09129385,-0.18036398,0.21169889,-0.03328832,-0.20237643,-0.30264735,-0.24165279,0.34208044,0.092172906,-0.21728113,0.045603335,-0.029687297,-0.17743196,0.2427995,-0.11366172,-0.20796327,0.1200939,-0.15563577,-0.07483184,0.11498322,0.39701247,-0.25481683,0.080976486,-0.2323476,-0.014668477,0.19117984,-0.07736403,0.16455345,0.11923143,-0.18541744,0.23991404,-0.15364727,0.03612512,0.10657776,0.021088846,-0.26593703,-0.08603509,0.28618276,-0.2596577,0.194399,0.20526844,-0.27145377,0.0281007,0.17953427,0.1898751,0.12803008
MKNK2,-0.100210935,0.36486304,0.51230866,0.06647708,-0.26968434,0.4215107,0.17512816,0.4001698,-0.553995,0.5632993,-0.26549062,-0.44830295,-0.48504725,-0.27285346,0.3737921,0.28701,-0.36388943,0.20006943,-0.06564606,0.29536837,0.14872238,0.48067224,0.62871546,0.32718942,0.46989784,0.111919805,-0.24482611,-0.41159827,-0.25890198,0.45591545,0.45041302,0.12640868,0.11217364,-0.5366178,0.11815052,0.5630107,0.20438027,-0.394527,0.49093354,0.29069677,0.34628898,0.4223442,0.459074,0.48042443,0.5155488,-0.25366503,0.30996358,-0.182824,-0.13871548,-0.31056538,-0.47174597,0.5359264,-0.106939405,0.22512761,0.50891906,0.48810226,0.49913016,-0.23721741,-0.47888705,-0.463636,0.25727355,0.49801677,-0.33514383,0.5312457,0.12301081,-0.19990897,-0.5513285,0.2536992,0.28162915,-0.42222616,0.0052189576,-0.16477282,0.43278024,-0.40571338,0.3940665,0.13610333,0.5530394,-0.44768736,0.021533262,-0.42598456,-0.1807891,0.44246078,-0.13579583,-0.28682035,0.3385795,-0.5476154,-0.40259346,-0.04548752,-0.36174583,-0.061824013,1.0,0.017522093,0.17324533,0.39985654,0.5154147,-0.32303572,0.49199095,-0.044686846,-0.5104751,0.54604185,0.44732568,0.6101598,-0.29603377,-0.1254528,-0.1765679,0.34452194,-0.5308614,-0.55327344,-0.544926,-0.47782454,-0.28133184,0.32950315,-0.4766352,0.430228,-0.15652338,0.28295758,0.34275118,0.3650599,0.2049651,0.33796287,-0.252661,-0.6223319,0.40010384,0.40951753,-0.3656831,0.56001496,-0.476751,0.3994868,-0.16109458,0.45647946,0.5788142,0.4494681,-0.42842215,-0.6116623,0.27176934,-0.4721001,0.28617755,0.50407714,0.07491047,0.5847703,0.065670185,0.22815537,0.1859196,-0.41950214,-0.29112777,0.3419515,-0.45181173,0.42437276,0.040898733,0.31966844,-0.49306962,-0.18476976,-0.006508452,-0.2099672,-0.12179078,-0.411071,-0.35345376,-0.022666441,-0.26697105
MKRN1,-0.51112044,-0.23309885,-0.08243626,-0.20564532,0.09768546,0.019596282,-0.18586743,-0.043365903,0.024053078,-0.06586801,0.16177955,-0.07834715,0.050943118,0.1490151,0.05036134,-0.11258319,0.14666866,-0.09727589,-0.09140518,-0.21453533,-0.29428846,-0.07418312,-0.08498971,-0.15472083,0.05445305,-0.2891469,0.19536418,0.019266969,0.22673109,0.070235506,0.008330912,-0.217072,-0.2720237,-0.073691905,-0.11623624,0.052225493,-0.23979971,-0.063201986,0.12688248,-0.16687833,-0.11709079,-0.19132428,0.06264104,0.1865248,0.057658944,0.1442566,0.10510223,0.07436785,-0.59498173,0.11679712,-0.013632182,0.12407456,0.24553517,0.18769985,0.0031060227,0.04167241,-0.062859744,0.28533846,0.025683206,-0.063939005,0.48850572,-0.18489711,0.22884105,-0.09144563,0.4307344,0.27744275,0.0058873342,-0.0058488236,0.07706413,0.10451924,0.4639653,-0.48922506,0.15123785,0.013283158,-0.21307662,-0.19447991,-0.02403462,0.053775087,0.40720975,0.057671405,0.15038207,-0.041957352,-0.10367493,0.044582613,-0.102287225,-0.012059964,0.006086655,-0.08690499,0.032622017,0.28938353,0.017522093,1.0,-0.02910161,-0.01852253,-0.054606766,0.11546844,0.065679766,0.17509347,0.026178345,0.03737775,0.18604052,0.14157775,0.16254513,-0.61705923,-0.09074744,-0.04701602,0.03514196,0.1522637,-0.0049551083,0.12636472,0.059338894,0.009799849,-0.053829286,0.12052589,-0.5063022,-0.041023925,-0.03962559,-0.09150006,-0.18816699,-0.07166441,-0.0071714483,0.019783325,0.0486582,0.08656098,-0.02301107,-0.10564183,0.059703376,-0.09707527,-0.5027793,-0.034581732,-0.20812769,0.15143403,-0.09288885,0.118666604,-0.22565122,-0.016901083,-0.18516946,-0.007421185,0.08327988,0.027746826,0.4791931,-0.0042774044,-0.14159364,0.009674858,-0.3736936,-0.030047456,0.04585091,0.12818193,-0.018199062,-0.20514852,-0.009231651,-0.55324817,0.024321139,0.11915241,-0.5545901,0.05272407,0.16051053,0.48993966,0.17315854
