,ABCG8,ABTB1,ARFIP2,ARHGAP8,ATG7,B4GALNT2,BCAP31,CAB39,CAMKV,CCL14,CERT1,CRACR2B,CT83,CYB561D2,CYP2A6,ELANE,EML1,EPHX1,FAM110B,FAM114A1,FAM32A,FAM9A,FBXO34,FMR1NB,FSCN2,GALNT5,GPR173,GULP1,HOOK2,HOXC9,ITGB1BP2,KLC3,LSMEM2,MAP4K4,MARCKSL1,MGAT2,MGLL,MOS,MSN,MYT1,NAP1L5,NDE1,NEMP1,NPR2,NTS,OCM,OPA3,OR10G8,PAFAH1B1,PAFAH1B2,PAFAH1B3,PARM1,PI4KB,PIP4K2A,POC1A,PODXL,POLR1D,PPP1R16B,PROSER2,PRR14,PRR15,PTPN5,RBM26,RBM47,RFTN1,RIBC1,RNF41,SCAMP2,SLC25A48,SLC39A1,SLC5A8,SPATA25,SPCS1,SPEG,SPO11,SRPK2,STK38,STK38L,STYK1,SUN2,SYAP1,TEF,TFAP2A,TMED8,TMEM179B,TMPO,TMX4,TOR1A,TOR1AIP2,TOR1B,TSSK4,VGLL4
PPP1R16B,-0.037565436,0.37550938,0.022590153,-0.054505058,0.04083157,-0.037457377,-0.015050881,0.17177996,0.3139685,0.029185552,0.064944364,0.17707513,0.0003062077,0.0346938,-0.045270402,0.10392438,0.1972835,-0.07522998,-0.13456482,0.022818238,0.26310188,0.025088837,-0.4613602,0.0798763,0.08625695,-0.010299286,-0.105245024,0.06493944,0.09306629,0.14525235,-0.014169773,0.31263083,0.043986246,-0.21368316,-0.0015547723,-0.010060505,-0.050521094,-0.12198373,0.21430145,-0.2288423,-0.17854573,-0.05363506,0.054122783,0.17336924,0.17097545,0.02501456,-0.062607445,0.0413729,-0.020227194,0.15114602,0.12924731,0.113441736,-0.03794475,0.122218765,0.101041004,0.018662304,0.036791623,1.0,-0.025845805,-0.06780176,0.011038808,0.08576441,0.017053146,0.26655003,0.021581277,-0.20554203,0.32742372,0.23086268,-0.07552745,0.04413893,0.04063101,-0.011347083,0.063792236,-0.07067644,-0.06150549,-0.11148538,-0.057928137,0.11669148,0.08232261,0.026918303,-0.04711686,0.105475694,-0.27521926,-0.19212207,0.11522667,-0.030278321,0.019687707,0.050283667,0.07885954,-0.060945947,0.005159769,0.118109
PROSER2,0.129819,-0.0073972605,-0.32867694,-0.015331694,0.040286582,0.0065335464,0.08719097,-0.43532073,0.42205462,0.028530616,0.58112544,-0.07302106,0.018777689,-0.017638084,-0.009359613,0.1336157,-0.07106626,0.032070287,-0.36686912,-0.033504356,-0.03202706,0.068802826,-0.018211437,0.15788925,0.038677186,0.008501239,-0.29590893,0.12197666,-0.06464599,0.111651324,-0.006408597,-0.06501991,0.078379095,-0.18269011,0.48411426,-0.09887788,0.044068173,-0.026274733,0.385294,0.039666265,0.016461566,0.05146361,0.05805692,0.060983043,0.052799087,-0.025753345,0.10682444,0.03674427,0.014101773,-0.1304057,-0.11482236,-0.017323397,-0.37196076,0.2518003,0.013203152,-0.0108422935,0.030895071,-0.025845805,1.0,-0.16426927,0.6812087,0.17973867,0.065448895,0.26672757,0.5320955,0.1354011,0.10243368,-0.2793587,-0.030864142,0.006512399,0.10649895,-0.06993742,0.04439495,0.43913096,0.07495491,0.15370141,-0.48272792,-0.45636985,0.0812817,-0.01602516,-0.16912416,-0.03222979,-0.015615376,-0.0019015074,-0.30253404,-0.0792581,0.062123034,-0.040907614,0.06891776,0.08571645,0.08998673,0.0808845
PRR14,-0.37383214,0.10398881,-0.07517351,-0.04434534,-0.022309454,0.048175905,-0.3979154,-0.0714635,-0.003066035,0.022456422,-0.0609385,-0.11881673,-0.005928647,0.09511718,-0.2636333,-0.12147504,0.045537736,-0.34859103,0.026388384,-0.025886375,0.10330736,-0.0022823196,-0.02604526,-0.37717456,-0.016780239,0.0127820745,-0.005244216,-0.035829037,-0.053692967,-0.3029461,0.08857518,0.10539213,0.3447178,-0.011767543,-0.01771933,-0.048639666,-0.15868819,0.2397294,-0.05603364,-0.0127505995,0.0070453957,0.11814443,0.42256778,-0.39409387,-0.07113883,-0.052523024,0.012957383,-0.003024722,0.10272936,-0.053249136,-0.02208924,0.0018911995,-0.024338897,0.18738315,0.19361731,-0.04644649,0.014677622,-0.06780176,-0.16426927,1.0,-0.051923327,-0.4855131,0.0641203,0.22700065,0.04741844,-0.25348762,-0.031475075,-0.040366046,0.022096056,-0.032158926,0.01493657,-0.0055293217,-0.029206378,0.10003979,0.06696554,-0.31853932,-0.03829462,-0.08309598,-0.39869335,0.24666324,-0.21152368,0.0009067897,-0.040926576,-0.2264794,-0.064247146,0.59834576,-0.41750428,-0.2625628,-0.42344502,-0.39426863,-0.018277578,-0.09063866
PRR15,0.030244194,0.09846721,-0.36730668,-0.061182857,0.0029820912,0.00949895,-0.053440012,-0.45806935,0.47896147,0.020337021,0.658476,-0.1358014,0.015657414,-0.024308238,-0.10832259,0.041750193,-0.072879955,-0.08293657,-0.38469166,-0.11491107,0.12929462,0.002766739,-0.032632243,0.090792015,0.007702886,0.028566228,-0.329048,0.1276052,-0.07851345,0.0937015,0.015616976,-0.042160507,0.28774482,-0.25033337,0.59409785,-0.1140036,0.03450979,0.020976746,0.49313983,0.17624205,0.084032826,0.13262007,0.1617091,-0.006357869,0.05262239,-0.020706894,0.052865833,0.041518334,0.119188935,-0.12130949,-0.12111248,-0.0012645051,-0.42135,0.36402163,0.050328743,-0.021336522,0.0440903,0.011038808,0.6812087,-0.051923327,1.0,0.040399566,0.0068274606,0.36346033,0.6326299,-0.047271464,0.026277507,-0.26586205,-0.010625901,0.01772461,0.10738015,-0.12216551,-0.014627616,0.49812502,0.09722238,0.00812307,-0.4211892,-0.47597748,-0.021905433,0.08050586,-0.28740865,-0.077496395,0.021584965,-0.15191263,-0.35563758,0.010885749,-0.0975336,-0.16210654,-0.10246726,-0.005712725,0.09218048,0.11148626
PTPN5,0.5134263,-0.17713535,0.028265491,0.055558763,-0.06108761,-0.112778306,0.48845375,0.040837795,0.08563804,0.04834368,0.14163297,0.117154725,-0.052736662,-0.14615726,0.41432416,0.16494259,0.0033239666,0.5906181,-0.028815255,0.09951016,-0.25788164,-0.02793275,0.04597924,0.6819102,0.03388473,0.0797959,0.012829108,0.047009345,0.03323868,0.2007622,-0.0321951,-0.080583856,-0.39308268,-0.10291164,0.07518732,0.065055236,0.115351826,-0.061442886,0.11924468,-0.0666063,-0.035397653,-0.118915714,-0.58423525,0.62303174,0.011885729,0.0033551566,0.01251702,0.04518832,-0.16859224,0.031954437,0.114365146,0.08202338,0.007979946,-0.14929156,-0.29243115,-0.040493045,-0.028654989,0.08576441,0.17973867,-0.4855131,0.040399566,1.0,-0.16830553,-0.12999654,-0.0055082217,0.5205947,0.19555712,-0.033783942,-0.015940666,0.08309755,0.042083226,0.00233135,0.16005147,0.03594976,0.012100534,0.48726806,0.06603413,0.07285173,0.6880687,-0.58515424,0.33557963,-0.025304733,0.050510645,0.30838826,0.09382571,-0.5747071,0.6646816,0.40500304,0.731717,0.5392839,0.119887754,0.018654194
RBM26,-0.0016415622,0.030438919,0.057909213,-0.50638676,0.047086235,0.023257066,0.08382541,-0.039010603,0.024616811,-0.05190227,-0.07334155,0.08051768,0.048606448,0.13245653,-0.0688691,0.2697891,-0.0630906,-0.06834048,-0.018509619,0.08732903,0.05817,0.05171159,-0.12639843,-0.07169339,0.054765694,-0.26750392,0.0059201624,0.36804307,0.07868698,-0.041210994,0.002251204,-0.099506795,0.04371777,-0.0715948,-0.116765656,-0.46702245,0.033467706,-0.0504248,-0.008021194,0.0036807247,-0.016233282,-0.14661057,0.10351764,0.020085119,0.35690355,0.11007755,-0.10114485,-0.02474891,-0.2440501,0.075023085,0.037290663,0.02119147,-0.09554614,-0.009934204,0.08029236,-0.3929867,0.07270303,0.017053146,0.065448895,0.0641203,0.0068274606,-0.16830553,1.0,0.0056987144,-0.029468853,-0.14913231,-0.07082455,0.10417021,-0.14420535,-0.085298166,-0.11111583,0.07917289,-0.04166952,0.09911267,0.32715833,-0.16555421,0.03510375,-0.026703453,-0.106560886,0.12712415,-0.017816586,0.0073307753,0.0037950128,0.088216886,0.03931233,0.09539455,-0.052840892,-0.12999877,-0.12674846,-0.08063246,-0.08416648,0.021061981
RBM47,-0.24049678,0.2755231,-0.37395066,-0.05128009,-0.010669854,-0.0017620781,-0.32426545,-0.31001297,0.4477376,-0.030128114,0.44071037,-0.13508257,-0.010088486,-0.090286344,-0.3030014,-0.052533366,0.032217663,-0.29519,-0.46209365,-0.2878362,0.25168175,0.0275104,-0.29085875,-0.13202296,-0.023293333,0.17300576,-0.3530964,0.029970482,-0.15416,-0.04730817,0.08766012,0.16690773,0.42866626,-0.2630358,0.37956685,0.06469467,-0.023040865,0.17414373,0.22880894,-0.13873482,-0.14231354,0.10279475,0.43554935,-0.19402918,0.033444956,-0.0375161,0.1281642,0.05911539,0.14647308,-0.10157059,-0.0827259,-0.009186958,-0.25331205,0.4608083,0.12177501,0.080355085,0.06454314,0.26655003,0.26672757,0.22700065,0.36346033,-0.12999654,0.0056987144,1.0,0.40684164,-0.24814278,0.22551773,-0.21679565,0.042929996,-0.011372708,-0.02442305,-0.042288925,0.021071453,0.2875963,0.027890254,-0.21840705,-0.32035485,-0.26850832,-0.2799592,0.11779852,-0.4017252,0.01892516,-0.017317332,-0.31316996,-0.29930094,0.2539961,-0.21842839,-0.27293512,-0.2433672,-0.2577155,0.1037004,0.10115422
RFTN1,-0.0062098093,0.10009045,-0.41632313,-0.06267285,0.017970502,0.010757284,-0.09606637,-0.4166614,0.5838058,0.03634152,0.6277478,-0.073063225,-0.024059756,-0.05585636,-0.110825256,0.049040653,0.0013392661,-0.098814696,-0.35722685,-0.19929826,0.0670145,0.0068884008,-0.100516945,0.03984674,0.048871633,0.12041771,-0.44174924,-0.0052458188,-0.030882493,0.04870514,0.07272967,0.046552412,0.24105108,-0.25353432,0.62826216,-0.08026256,-0.013461806,0.044111986,0.4109752,0.02014077,-0.07762444,0.06317291,0.16290498,-0.031382404,-0.008048777,-0.045784704,-0.016203832,0.0632981,0.07815924,-0.07766427,-0.022371083,-0.013196142,-0.49256545,0.49677265,-0.02518302,0.00965824,0.06218589,0.021581277,0.5320955,0.04741844,0.6326299,-0.0055082217,-0.029468853,0.40684164,1.0,-0.14593178,0.124606505,-0.40551907,-0.0694893,0.010574041,0.0864594,-0.08399447,-0.041880287,0.53286076,0.050814867,0.04177673,-0.45958436,-0.4894629,-0.017752707,0.08769097,-0.3801368,-0.062201247,-0.082954146,-0.13655853,-0.49298474,0.022060769,-0.082620695,-0.090039134,-0.081734,-0.03909925,0.047274478,0.020749927
RIBC1,0.40970826,-0.089738935,0.029053919,0.11232181,-0.035173714,-0.113550425,0.3347503,-0.07459658,-0.1716926,0.022585548,-0.026833218,-0.04915529,-0.011209352,-0.17314382,0.24964572,-0.0060410574,-0.09727328,0.46658352,0.10367517,0.08343737,-0.22624944,-0.05865001,0.22804798,0.44685572,-0.01143777,0.0675676,0.039658457,-0.004374478,-0.053326644,0.044137023,-0.05478693,-0.040206857,-0.3246726,0.07599799,-0.056141034,0.11236488,0.023333605,0.019423965,-0.024481032,-0.0820928,0.13676497,0.05408454,-0.5051089,0.44183508,-0.013934098,-0.024627702,0.039346255,0.07049562,-0.02374867,-0.11462082,-0.06663272,0.06270081,0.09929495,-0.32115614,-0.0351105,0.019238122,-0.028660933,-0.20554203,0.1354011,-0.25348762,-0.047271464,0.5205947,-0.14913231,-0.24814278,-0.14593178,1.0,0.18118264,-0.04119678,0.014021296,0.022133851,0.051599964,-0.031540275,0.0353375,-0.0186411,-0.07908535,0.40707046,0.07121547,-0.0048562493,0.4149683,-0.38238412,0.28505766,-0.015327662,0.100733675,0.35179317,0.09111677,-0.34898663,0.38781303,0.43490422,0.57481337,0.51881146,0.12338933,0.029239759
RNF41,0.13248408,0.13588254,-0.04844831,0.031439517,-0.063046396,0.062386997,0.054061793,-0.073972344,0.23477934,0.0968904,0.13799375,0.07432164,-0.012392511,-0.023563575,-0.03762059,0.03637404,0.17124565,0.21044607,-0.08251081,0.019052954,-0.107254125,0.0068979897,-0.0471569,0.28173324,-0.021742582,0.11078036,-0.28676078,-0.0057823323,-0.16585207,0.08545513,-0.0008228626,0.4820786,-0.12500817,-0.14289692,0.14315486,0.06362653,-0.08693868,0.101016134,0.2609856,-0.55565953,-0.10553217,0.1282107,-0.14569311,0.2988244,0.11202351,-0.020794705,-0.031675927,0.11146915,0.10518364,-0.1432323,0.04050446,-0.010875847,-0.02150792,-0.06792723,0.16833556,0.037428234,-0.051439114,0.32742372,0.10243368,-0.031475075,0.026277507,0.19555712,-0.07082455,0.22551773,0.124606505,0.18118264,1.0,-0.105046496,-0.041594196,-0.00096334144,-0.03754404,0.0066491235,0.03541223,0.10061822,-0.052179776,0.23414724,-0.25321928,-0.10558736,0.18624383,-0.22185849,0.05774941,0.19714977,-0.3528946,0.10887764,-0.051804177,-0.12104889,0.1497237,0.24621783,0.3273104,0.26554748,0.12978627,-0.024819728
SCAMP2,-0.0026504938,0.16625409,0.6025472,-0.03784357,0.04264816,0.07114803,0.12597768,0.43311465,-0.2869457,-0.08881115,-0.4930644,0.24062066,0.07149344,0.25738734,0.040527325,0.03393477,-0.015616732,-0.033675455,0.38684177,0.23667388,0.31128478,-0.0007584309,-0.07886641,0.03613568,-0.006462775,-0.24285313,0.47521752,-0.011265865,0.28515112,-0.079085805,0.028695375,-0.0628223,0.0015811995,0.084784806,-0.4828724,-0.093659595,-0.032298416,-0.024274021,-0.26529655,0.058323074,-0.064215615,-0.18738663,0.031358223,0.014648557,0.11593661,0.044917256,-0.009508106,-0.017240573,-0.22359022,0.2728577,0.1301355,0.15201552,0.3715486,-0.29081872,0.07257728,-0.08484372,0.029516205,0.23086268,-0.2793587,-0.040366046,-0.26586205,-0.033783942,0.10417021,-0.21679565,-0.40551907,-0.04119678,-0.105046496,1.0,-0.017230202,-0.03581146,-0.079350576,0.048439186,0.09041047,-0.31076422,0.028160818,-0.27660328,0.45524278,0.534572,-0.052232064,0.049866244,0.29061326,0.013372082,0.09240143,0.0141094,0.59094834,0.052970883,-0.016785257,-0.023844738,-0.06881321,-0.13710596,-0.06289456,0.110301405
